wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0.0,0,1,0,0,0,[],[],[]
0.0,0,5,0,0,0,[],[],[]
0.8333333333333334,10,12,0,8,2,[],"['oh', 'when', 'they', 'wont', 'be', 'as', 'hard', 'right']","[('you', 'one'), ('nail', 'of')]"
0.2222222222222222,4,18,1,0,3,['no'],[],"[('not', 'im'), ('necessary', 'certainly'), ('cuz', 'as')]"
1.0,6,6,0,1,5,[],['or'],"[('we', 'see'), ('could', 'the'), ('just', 'dots'), ('use', 'and'), ('the', 'there')]"
1.0,5,5,1,0,4,['f'],[],"[('stand', 'happening'), ('them', 'in'), ('all', 'the'), ('down', 'other')]"
0.0,0,2,0,0,0,[],[],[]
1.0,4,4,1,0,3,['ones'],[],"[('whats', 'there'), ('our', 'on'), ('only', 'their')]"
0.0,0,1,0,0,0,[],[],[]
0.5,5,10,0,4,1,[],"['i', 'mean', 'if', 'we']","[('just', 'lets')]"
0.2,1,5,0,0,1,[],[],"[('done', 'them')]"
0.9285714285714286,13,14,0,3,10,[],"['is', 'the', 'biscuit']","[('thing', 'if'), ('up', 'this'), ('cuz', 'could'), ('then', 'say'), ('it', 'you'), ('might', 'know'), ('hold', 'its'), ('it', 'all'), ('in', 'the'), ('position', 'pieces')]"
0.0,0,1,0,0,0,[],[],[]
0.0,0,1,0,0,0,[],[],[]
0.7142857142857143,5,7,1,0,4,['and'],[],"[('were', 'hot'), ('not', 'too'), ('doing', 'in'), ('biscuit', 'biscuits')]"
0.07142857142857142,1,14,0,0,1,[],[],"[('biscuit', 'biscuits')]"
0.8,4,5,2,0,2,"['was', 'funny']",[],"[('can', 'im'), ('we', 'gonna')]"
0.21052631578947367,4,19,0,2,2,[],"['to', 'the']","[('what', 'which'), ('best', 'that')]"
2.0,2,1,1,0,1,['thank'],[],"[('okay', 'you')]"
0.3333333333333333,2,6,1,0,1,['this'],[],"[('thisll', 'will')]"
0.25,3,12,0,0,3,[],[],"[('will', 'with'), ('seem', 'seems'), ('the', 'be')]"
1.0,1,1,0,0,1,[],[],"[('alright', 'correct')]"
0.6666666666666666,2,3,1,0,1,['any'],[],"[('anyway', 'way')]"
1.0,6,6,0,5,1,[],"['theyre', 'a', 'different', 'thing', 'i']","[('should', 'there')]"
0.2857142857142857,2,7,0,1,1,[],['i'],"[('guess', 'there')]"
0.8,4,5,0,2,2,[],"['cord', 'right']","[('uh', 'of'), ('there', 'corridor')]"
1.0,2,2,0,0,2,[],[],"[('are', 'stay'), ('you', 'safe')]"
1.0,1,1,0,0,1,[],[],"[('yeah', 'yo')]"
0.0,0,3,0,0,0,[],[],[]
1.0,7,7,0,4,3,[],"['do', 'you', 'have', 'to']","[('do', 'h'), ('that', 'gorilla'), ('inside', 'hay')]"
0.0,0,4,0,0,0,[],[],[]
0.6666666666666666,14,21,7,0,7,"['ah', 'if', 'its', 'an', 'side', 'by', 'side']",[],"[('the', 'unattractive'), ('bottom', 'to'), ('but', 'bottom'), ('if', 'lets'), ('check', 'inject'), ('sidebyside', 'place'), ('widthwise', 'wide')]"
0.3333333333333333,1,3,0,0,1,[],[],"[('check', 'show')]"
1.0,2,2,0,0,2,[],[],"[('well', 'what'), ('hey', 'curves')]"
0.25,3,12,1,0,2,['right'],[],"[('do', 'see'), ('this', 'it')]"
1.0,1,1,0,0,1,[],[],"[('alright', 'hi')]"
1.0,1,1,0,0,1,[],[],"[('hm', 'right')]"
0.8,4,5,0,1,3,[],['know'],"[('what', 'dont'), ('youre', 'know'), ('amazing', 'anything')]"
1.0,8,8,3,1,4,"['thats', 'what', 'im']",['i'],"[('know', 'no'), ('dont', 'cant'), ('appreciate', 'believe'), ('sometimes', 'gonna')]"
0.6,9,15,1,2,6,['thing'],"['do', 'that']","[('seems', 'with'), ('so', 'stickers'), ('one', 'you'), ('well', 'know'), ('i', 'glad'), ('guess', 'it')]"
1.0,2,2,0,0,2,[],[],"[('its', 'because'), ('cuz', 'work')]"
1.0,4,4,0,0,4,[],[],"[('i', 'thank'), ('think', 'you'), ('theyre', 'for'), ('fine', 'watching')]"
0.5555555555555556,5,9,2,0,3,"['going', 'to']",[],"[('theyre', 'then'), ('not', 'height'), ('arent', 'be')]"
0.3157894736842105,6,19,0,1,5,[],['out'],"[('we', 'you'), ('when', 'want'), ('its', 'us'), ('too', 'to'), ('the', 'off')]"
0.75,3,4,0,0,3,[],[],"[('then', 'they'), ('i', 'make'), ('guess', 'out')]"
0.1,1,10,1,0,0,['i'],[],[]
1.0,1,1,0,0,1,[],[],"[('hmm', 'yeah')]"
1.75,7,4,6,0,1,"['im', 'fine', 'you', 'know', 'im', 'a']",[],"[('so', 'im')]"
