wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
1.0,1,1,0,0,1,[],[],"[('what', 'whats')]"
0.0,0,5,0,0,0,[],[],[]
1.0,12,12,0,6,6,[],"['oh', 'when', 'you', 'nail', 'them', 'together']","[('they', 'this'), ('wont', 'money'), ('be', 'worked'), ('as', 'out'), ('hard', 'well'), ('right', 'you')]"
0.16666666666666666,3,18,0,1,2,[],['no'],"[('necessary', 'necessarily'), ('cuz', 'because')]"
1.0,5,5,0,0,5,[],[],"[('stand', 'a'), ('them', 'full'), ('all', 'time'), ('down', 'play'), ('flat', 'rings')]"
0.0,0,2,0,0,0,[],[],[]
1.0,4,4,0,1,3,[],['no'],"[('whats', 'it'), ('our', 'one'), ('only', 'second')]"
0.0,0,1,0,0,0,[],[],[]
0.9,9,10,0,4,5,[],"['i', 'mean', 'if', 'we']","[('just', 'lets'), ('it', 'a'), ('in', 'interview'), ('two', 'for'), ('positions', 'breaks')]"
0.2,1,5,0,0,1,[],[],"[('done', 'them')]"
0.8571428571428571,12,14,0,0,12,[],[],"[('is', 'the'), ('the', 'best'), ('biscuit', 'good'), ('up', 'in'), ('cuz', 'health'), ('then', 'is'), ('it', 'that'), ('might', 'i'), ('hold', 'would'), ('it', 'all'), ('in', 'get'), ('position', 'therapy')]"
1.0,1,1,0,0,1,[],[],"[('no', 'now')]"
0.2857142857142857,2,7,2,0,0,"['you', 'know']",[],[]
0.07142857142857142,1,14,1,0,0,['trim'],[],[]
0.6,3,5,2,0,1,"['i', 'for']",[],"[('can', 'mean')]"
0.2631578947368421,5,19,0,1,4,[],['what'],"[('orientation', 'which'), ('is', 'orientations'), ('the', 'are'), ('best', 'that')]"
0.3333333333333333,2,6,1,0,1,['this'],[],"[('thisll', 'will')]"
0.25,3,12,0,0,3,[],[],"[('will', 'with'), ('seem', 'seams'), ('the', 'be')]"
0.3333333333333333,1,3,0,0,1,[],[],"[('anyway', 'anywhere')]"
2.5,15,6,9,0,6,"['how', 'you', 'do', 'it', 'queer', 'things', 'are', 'just', 'hard']",[],"[('theyre', 'to'), ('a', 'ask'), ('different', 'to'), ('thing', 'vacuum'), ('i', 'wind'), ('should', 'goals')]"
0.0,0,7,0,0,0,[],[],[]
1.0,5,5,0,1,4,[],['uh'],"[('the', 'out'), ('cord', 'of'), ('right', 'the'), ('there', 'corridor')]"
0.0,0,1,0,0,0,[],[],[]
1.0,3,3,0,1,2,[],['how'],"[('you', 'right'), ('doing', 'on')]"
1.0,7,7,0,4,3,[],"['do', 'you', 'have', 'to']","[('do', 'nippah'), ('that', 'nippah'), ('inside', 'hey')]"
0.25,1,4,0,0,1,[],[],"[('its', 'whats')]"
0.8571428571428571,18,21,8,0,10,"['i', 'think', 'ill', 'talk', 'to', 'right', 'by', 'side']",[],"[('the', 'you'), ('bottom', 'about'), ('but', 'them'), ('if', 'but'), ('check', 'i'), ('and', 'can'), ('sidebyside', 'with'), ('widthwise', 'pliers'), ('dont', 'all'), ('side', 'stuff')]"
0.3333333333333333,1,3,0,0,1,[],[],"[('check', 'cheers')]"
1.3333333333333333,4,3,1,0,3,['about'],[],"[('turn', 'your'), ('that', 'advance'), ('off', 'what')]"
1.0,2,2,0,1,1,[],['well'],"[('hey', 'what')]"
0.16666666666666666,2,12,0,1,1,[],['you'],"[('dont', 'youll')]"
1.0,1,1,0,0,1,[],[],"[('alright', 'bye')]"
0.8,4,5,0,0,4,[],[],"[('you', 'i'), ('know', 'dont'), ('what', 'know'), ('youre', 'how')]"
0.875,7,8,0,3,4,[],"['dont', 'appreciate', 'it']","[('i', 'down'), ('know', 'the'), ('you', 'walk'), ('sometimes', 'happens')]"
0.3333333333333333,5,15,1,2,2,['thicker'],"['one', 'well']","[('i', 'bye'), ('guess', 'guys')]"
1.0,2,2,2,0,0,"['it', 'works']",[],[]
0.0,0,4,0,0,0,[],[],[]
0.0,0,9,0,0,0,[],[],[]
0.05263157894736842,1,19,0,0,1,[],[],"[('we', 'you')]"
1.0,4,4,0,0,4,[],[],"[('right', 'and'), ('then', 'make'), ('i', 'it'), ('guess', 'else')]"
0.4,4,10,2,0,2,"['i', 'going']",[],"[('gonna', 'to'), ('your', 'our')]"
2.0,2,1,1,0,1,['thank'],[],"[('hmm', 'you')]"
1.75,7,4,3,0,4,"['have', 'some', 'fun']",[],"[('fine', 'be'), ('im', 'careful'), ('so', 'bye'), ('fine', 'bye')]"
1.0,1,1,0,0,1,[],[],"[('no', 'video')]"
2.0,4,2,2,0,2,"['thank', 'you']",[],"[('two', 'so'), ('more', 'much')]"
0.0,0,2,0,0,0,[],[],[]
1.5,3,2,1,0,2,['thanks'],[],"[('six', 'for'), ('more', 'watching')]"
1.0,2,2,0,1,1,[],['two'],"[('more', 'tomon')]"
1.0,1,1,0,0,1,[],[],"[('pass', 'pause')]"
1.4,7,5,2,0,5,"['my', 'last']",[],"[('pass', 'hooklist'), ('ha', 'is'), ('ha', 'really'), ('ha', 'cool'), ('ha', 'things')]"
0.2857142857142857,2,7,1,0,1,['jab'],[],"[('challenge', 'it')]"
0.14285714285714285,2,14,0,2,0,[],"['if', 'challenge']",[]
0.0,0,2,0,0,0,[],[],[]
2.5454545454545454,28,11,22,1,5,"['man', 'im', 'not', 'sure', 'if', 'i', 'can', 'get', 'it', 'im', 'not', 'sure', 'if', 'i', 'can', 'get', 'it', 'im', 'not', 'sure', 'if', 'i']",['lost'],"[('nice', 'can'), ('pass', 'get'), ('so', 'it'), ('my', 'dont'), ('turn', 'mind')]"
1.0,2,2,1,0,1,['yeah'],[],"[('okay', 'yeah')]"
1.0,7,7,3,0,4,"['thats', 'it', 'horn']",[],"[('i', 'for'), ('have', 'me'), ('whole', 'that'), ('deck', 'could')]"
0.3333333333333333,9,27,4,0,5,"['i', 'dont', 'know', 'how']",[],"[('deck', 'day'), ('to', 'it'), ('ha', 'to'), ('ha', 'do'), ('ha', 'it')]"
3.0,3,1,2,0,1,"['people', 'dont']",[],"[('ha', 'challenge')]"
9.0,18,2,16,0,2,"['so', 'it', 'makes', 'me', 'want', 'everyone', 'who', 'will', 'be', 'there', 'in', 'kapplications', 'and', 'we', 'can', 'deal']",[],"[('but', 'with'), ('card', 'that')]"
4.0,4,1,3,0,1,"['thank', 'you', 'everybody']",[],"[('pakistan', 'youdseeme')]"
0.5,1,2,0,0,1,[],[],"[('two', 'to')]"
1.0,2,2,0,0,2,[],[],"[('two', 'for'), ('more', 'what')]"
2.0,8,4,4,0,4,"['i', 'will', 'see', 'you']",[],"[('two', 'in'), ('nine', 'the'), ('two', 'next'), ('nine', 'video')]"
8.0,8,1,7,0,1,"['thank', 'you', 'for', 'liking', 'and', 'sharing', 'with']",[],"[('chad', 'me')]"
0.0,0,2,0,0,0,[],[],[]
1.5,3,2,1,0,2,['start'],[],"[('mm', 'whats'), ('hmm', 'it')]"
7.0,7,1,7,0,0,"['share', 'whats', 'at', 'the', 'of', 'the', 'next']",[],[]
1.0,2,2,0,1,1,[],['three'],"[('five', 'threefive')]"
2.0,2,1,1,0,1,['the'],[],"[('five', 'event')]"
0.5,1,2,0,1,0,[],['more'],[]
0.0,0,2,0,0,0,[],[],[]
