,uid,MCD_recon,MCD_gt
0,634b2f0d-2cca-4bc6-bb13-905c0c2748e7,7.743153,11.511324
1,e3a4152c-2cf4-44da-991f-b980fd5cdceb,6.9063706,9.391714
2,247e3a78-fa9e-43c5-acb2-5755a17766cb,8.484031,9.802133
3,7b143212-b828-4231-8ffd-49ab808bb1cc,8.2911825,10.360483
4,4e7f3fd2-a6dd-40bd-8b88-87b1016f3422,6.2745004,8.947275
5,f5cbd4b2-534a-486d-b6fc-7763f40e3d0f,6.2818108,9.243586
6,ce36a9c9-ecc0-486e-b200-1d9b201921f8,8.328965,9.1212015
7,263828f8-d38d-4294-ab67-b66de2066751,7.1237755,8.496262
8,d65fa2ae-a351-4c03-a42a-f7b4cad177e7,9.097193,9.984938
9,21c4d37c-d994-496c-9b46-caabd4acf64c,9.386626,12.1815605
10,f22a7ca6-f2f4-4741-990f-b700f72f4507,7.549638,13.950796
11,93e4c5f9-90ae-4e60-ba5c-e0425ee1821f,9.5316105,10.983535
12,9e7288bb-72de-43f4-bf87-5ad601cee54a,7.4006414,8.398192
13,44b2508b-831e-4494-8c84-b926344e26fb,8.279261,9.769596
14,37b8e861-309e-408a-b9e8-a5668fbd0f7f,7.636718,14.141359
15,fe8bfe97-a47a-46c8-8332-db630eb82f06,5.728416,11.936085
16,6a8191df-d95f-49db-977f-cb78aaad9d37,8.114072,9.955241
17,055b62a6-f910-4a9e-a2b1-4bdd0a21a7ed,7.467231,9.507973
18,24c6ab00-1b8a-4eb2-9aaa-24cc69498181,6.991739,9.90165
19,9ae455b0-afed-4500-90b0-6017e4555de3,9.618431,10.41157
20,b6c080c9-8f07-4339-9137-1745828bf748,6.781385,8.781521
21,e54ba61c-6a33-45b7-8d0a-a141b664d522,8.544258,9.556939
22,6c1e45ec-4cc0-4da3-9d5e-b05bbedfb5bd,7.075403,8.557769
23,7e42def4-1dc9-47d9-bfa8-07dc3da0ceb2,7.8109083,11.163733
24,7ec88cc6-f3b9-4136-b2c9-e97258aa6893,8.327468,11.271101
25,a15c357e-b03f-4306-b109-56077947973b,9.029936,10.265941
26,e198c8bc-8fba-48aa-8cd0-93fba3901fb7,8.07343,9.027319
27,37247442-de6b-4a05-b805-0836968533d4,6.3313823,13.27721
28,b7f8a120-4b2c-4bb6-a0fd-773d3d307644,10.014064,10.770287
29,daf9d398-1501-46f4-9025-49789bb1b689,8.405771,9.463632
30,61eb2920-84f0-4d26-a227-dddf175b66ae,8.98436,14.594124
31,a3e48172-2e44-4620-8852-df2de54770d8,5.7608542,7.4428515
32,2defdc9a-a190-4561-af67-33ea08b5b896,7.300808,8.208691
33,571a0de6-a382-4eca-8179-3cdac16074ff,7.565926,8.683301
34,9ce19162-45c8-4727-82e0-d11e36a39ca6,6.4872317,9.04087
35,f50c1532-b1ba-4dd7-81e6-a1958e1daf2d,6.9906597,11.127794
36,6e6cf39f-933e-4132-9737-24c59f51fdb9,7.329675,8.539409
37,6f8b0f09-e88f-4861-a496-fdecc4ab8b90,7.2418456,9.0911455
38,9133b2b4-22ad-4726-9953-98d21866c4ca,8.2562,11.287823
39,3c5b5716-a1ce-49e5-8fb7-9ee9d6a40951,7.443888,12.788177
40,485b6f7e-9f7f-4167-850c-aa0cf50484c2,8.93681,10.408173
41,234c4709-a9b1-4ccb-b7d8-df659c3e82dd,9.224328,9.915898
42,643f000a-72b6-416b-9f19-e15367b57ff3,6.4956193,16.902658
43,9a3b57da-2efa-4837-8549-bd074eb06544,8.652807,10.083154
44,0c7556fc-dc59-4b81-8eda-d1f5c2bf932b,7.782015,8.956029
45,438fe758-05a2-47f2-a973-8d6448d3b89a,6.68582,8.274076
46,b629df8a-4dda-4111-a2d5-30b9dc933f86,7.207756,14.394892
47,150be7ce-a31f-45cb-8bfb-23ffd4581f03,9.159727,10.775269
48,191ac1f7-c405-43d7-b80a-acd2f0308952,6.5337048,7.7791333
49,ef9b88b8-d34d-4a10-92b8-ee2767d1dce5,7.0270934,8.84611
50,287834ff-656e-4852-a0c7-3aeee6b1b810,7.869487,9.590098
51,58b6f807-403a-474b-9e78-d4d94170bfb9,5.3930926,15.419854
52,4cff3913-550a-4128-a90a-6533623956a5,5.8267164,13.552866
53,512fb778-aa74-4963-8c40-4a8e276eeeb8,7.099356,7.9921794
54,69f6862f-a1cc-49ba-ac21-3af73ed30cf5,8.575181,9.248153
55,eaf793a3-be76-4a10-8cde-ff02e7390d33,9.192941,10.56172
56,ebae30a0-4f7c-495d-a488-64df4f1934c3,7.485773,10.916677
57,966ae86f-a1cb-43ea-ba36-385c93f68884,9.572811,10.6504
58,5ad0c53d-5fcb-43f1-92c3-e55a3aa4e81b,9.177172,11.473263
59,1faf5a2d-b037-40f3-b433-c2afbc63a6c7,7.5817037,9.761242
60,ba583f78-05f4-4ac6-a675-14022af74a2e,7.9032197,12.114634
61,7ff68847-cd6d-4dd7-8d86-2e0044419825,9.008979,11.911464
62,cbf51ddf-9286-4a15-874a-0ba78cfe04d7,8.804146,9.965519
63,9f84e23e-f547-4ec0-8592-e50a356d08c7,7.955945,8.841723
64,c9f5d15d-f9d4-44cc-bca6-1643e8c419e9,8.988418,13.574341
65,9a1b6161-429d-4338-9fe7-84be213b0c6e,6.359821,8.762376
66,3cc0a1eb-7d2c-4938-988e-be7b8bb96702,8.201201,10.550307
67,07966d11-f17d-4e71-8d17-cbfcb4825116,7.8327923,10.081776
68,fc7c240f-9af6-44fb-8c4c-6de29cc0f125,7.5496197,11.875769
69,059f1584-2990-4067-b0cd-71afebeabf48,7.842233,8.4608555
70,0c1025ea-33a4-4bb5-885d-144fb65613c0,7.1763625,8.37397
71,3733194a-aa2b-4a8e-a62a-6396d25cb446,7.229248,8.197712
72,1be83e44-0090-45e4-a7a3-7b877dc80ae5,5.8006225,8.809764
73,8e3eb6c6-221f-46fc-bc47-c18059102bee,6.40084,18.477703
74,03004b10-419c-4af2-8286-543d6b662fb7,7.0580616,9.520703
75,b74396c4-d70f-43ea-97a2-50ad79f08414,8.407827,11.947214
76,c5a4ffd7-a66c-4e02-9ee2-7e7b781d938c,5.8534575,10.534055
77,02e3f9d5-f39b-4422-8262-c8efc7242fd1,6.146048,13.539543
78,c05c49b2-dd06-41e6-bb17-3aa74ae75d3d,7.9343376,11.8715925
79,0117d4d0-bfb0-4df7-9388-b8456062d050,6.464103,13.635145
80,8204d4a6-f477-45df-b558-8e7fcee2b259,5.482336,7.4327345
81,72f726c6-2a41-43ae-b64a-162a856f08d6,5.3525643,12.495793
82,41424ff1-3ffe-44b6-ae56-40ee284d7863,7.6019034,9.068103
83,ecaaf7f7-3a63-4489-95d1-2fe4a8203bcb,6.789975,9.633239
84,be0af885-6f4b-4221-8626-5f44570329c7,7.1753936,8.176343
85,34eb4ff0-2a9e-4013-95c8-8480d1bb022f,5.2704782,8.275823
86,98284b31-eab9-40eb-8959-63c232872870,5.7133965,8.082311
87,83de4c3e-b577-44d9-9d43-4733225c046f,6.8609715,8.746486
88,d0e7f69b-ac62-4e37-a36e-2be29ad97140,7.2193904,8.223389
89,6a4584c0-bc38-4957-bcfe-31ac0c8e00f2,5.6902976,9.442246
90,4aa8452c-9603-4e49-a631-b312d12b4f17,6.2181053,7.923661
91,6f3eed35-c218-481f-90b8-10968f1b2cfc,6.4806533,7.7610245
92,8b568443-5b02-488e-9aa5-1446478f6dcc,5.7635727,8.7114105
93,45cccc4b-be49-428e-8afc-3f822307f1f0,5.7867227,8.298242
94,6f560c82-a06e-4378-901c-06f2465e286c,6.3569775,7.882654
95,7ecbdaf0-9886-4905-b5cc-3e5b6bf787bf,5.779186,7.1188006
96,ef83dcc5-4766-4ff2-ac91-a72b7aa1ff97,6.7971873,8.293383
97,bcb002b3-f56f-49d9-b10e-8472539457c7,6.905426,7.1373844
98,17061153-1565-4f73-ac1e-f0c8515aef4e,6.5656734,8.342276
99,3ae00ac6-820c-4553-8aa6-e665dd118cbd,6.1180534,8.096858
100,a79eb4f1-108f-480d-b135-94280c5369fc,6.4729853,8.021053
101,225604d7-8cba-4c7f-ae8f-aaff6af1470f,7.0811586,13.956935
102,9ca9099e-32ce-4d82-981a-7e0b13ca4930,7.005774,8.033939
103,caade2a4-8c9c-4bfb-91e4-ad58614fa208,7.1341124,8.588759
104,532c3cc3-ef8e-4041-8109-c2b5dc022e1d,6.376457,8.074352
105,0d79c018-88f5-4ac3-b562-c30dfc1e5d02,5.8263655,6.253677
106,d68d53e7-d917-4726-ab7c-626d56b1f110,5.3192887,7.1105413
107,2e203eec-89c3-4342-8074-c97b8fe200b3,7.9177213,13.670053
108,6eb0161d-b0e8-473e-a397-4c029a85f2c7,6.1152706,9.024506
109,77804b41-7887-4a6b-9967-d4e28d897731,6.3848233,11.3217745
