,uid,MCD_recon,MCD_gt
0,5400_3587_000037_000001,11.759657,13.000282
1,8772_270777_000011_000003,9.721693,10.779336
2,596_139612_000023_000003,9.290353,10.444478
3,4899_32639_000029_000000,10.51268,11.226871
4,5304_109507_000023_000000,11.634332,12.804976
5,8887_281471_000024_000001,9.741674,10.822245
6,2562_157263_000014_000000,10.574446,12.969752
7,954_130627_000038_000001,12.00399,14.556554
8,7825_258970_000028_000000,15.053753,16.44861
9,8684_293663_000006_000002,13.238748,14.141277
10,1806_2536_000010_000000,14.94531,17.810444
11,1025_92814_000044_000001,11.424582,12.352108
12,708_129393_000084_000001,15.0715885,16.157587
13,3228_4691_000000_000006,11.661596,13.061329
14,7495_252341_000037_000003,11.240195,12.012648
15,4854_24731_000028_000002,11.7300205,13.1841345
16,166_122789_000037_000000,10.721804,11.150851
17,1961_149738_000016_000006,11.800496,12.422768
18,1027_125147_000030_000001,13.463804,14.330667
19,2971_4275_000035_000000,8.310552,8.599452
20,1066_5330_000058_000001,11.713984,12.803326
21,3869_700_000019_000002,9.749403,10.681279
22,7981_112057_000023_000003,10.633057,12.172954
23,6544_231862_000065_000001,11.175472,10.655771
24,5054_1187_000089_000000,10.922488,10.927594
25,1472_285314_000023_000000,13.428364,13.897347
26,6981_70843_000102_000003,11.309844,11.664077
27,8725_294554_000007_000018,10.363672,11.739933
28,4148_134149_000084_000000,9.903447,11.321556
29,5239_32139_000012_000004,11.257876,13.882765
30,7286_92935_000012_000002,13.512548,14.497201
31,7705_101580_000025_000000,12.926511,13.285841
32,2517_135229_000021_000006,15.801385,16.291727
33,666_11243_000082_000003,9.53231,9.443786
34,5656_44577_000068_000004,11.608652,13.354141
35,3274_167022_000023_000001,9.628125,10.666514
36,2573_178449_000056_000000,9.377577,9.206928
37,7134_67233_000007_000000,12.201778,13.679959
38,6359_64713_000018_000000,11.175912,10.726668
39,6188_73024_000005_000003,10.769149,21.347935
40,4116_13265_000025_000006,9.9092245,10.418621
41,2074_149033_000012_000002,11.854084,12.513052
42,6160_44912_000004_000001,27.305443,29.356506
43,6189_21305_000014_000000,10.637409,10.924103
44,2004_147173_000019_000002,9.752847,10.4608965
45,3989_182402_000019_000000,27.70466,28.12748
46,4744_31668_000003_000001,12.478,13.453463
47,2592_5341_000022_000004,11.1931505,11.535748
48,480_127525_000006_000000,10.866103,12.201056
49,1265_135635_000022_000000,21.533516,23.973206
50,957_132568_000025_000001,13.398177,14.041254
51,166_352_000003_000010,9.641965,10.191706
52,576_129623_000107_000004,9.800517,11.859349
53,3361_1150_000028_000002,9.904383,10.095009
54,1731_142320_000059_000000,15.4053135,15.252629
55,2229_152864_000008_000000,10.452904,11.81038
56,6492_68353_000006_000000,11.8021965,12.784553
57,7145_87280_000025_000000,11.219156,12.215805
58,3825_134160_000001_000000,10.981905,13.752182
59,3728_105398_000070_000001,14.112141,14.788316
60,1903_132499_000027_000011,9.409568,10.971722
61,5448_19208_000052_000001,10.111932,11.639237
62,1121_176698_000024_000000,13.51273,14.550077
63,5622_41172_000004_000000,9.494796,10.123708
64,816_2301_000020_000000,10.859832,12.046141
65,100_122655_000050_000001,13.155756,12.171225
66,398_130093_000068_000001,8.760492,10.779192
67,479_107479_000017_000001,12.702961,12.950612
68,1777_142750_000003_000000,10.3461275,12.106746
69,2512_157242_000069_000000,10.641569,10.734721
70,5570_73846_000041_000001,10.598197,11.6391945
71,8498_287357_000044_000001,12.96319,14.465011
72,922_132300_000045_000000,12.265006,13.359813
73,4064_77779_000007_000004,11.015543,13.190686
74,209_157830_000013_000003,10.260503,10.008492
75,3009_10327_000027_000002,11.305474,14.388777
76,8825_292252_000025_000001,9.721365,10.034055
77,2045_158081_000021_000002,9.5148535,10.443956
78,8329_279775_000014_000000,11.558477,12.519158
79,64_76974_000078_000001,13.615961,13.996115
80,5868_66166_000023_000001,10.011678,10.878185
81,242_122627_000035_000000,10.328497,10.383313
82,5975_54006_000065_000000,12.931006,12.488739
83,303_123500_000016_000001,11.064891,13.283892
84,28_12332_000089_000009,10.398656,10.832991
85,1417_1532_000028_000000,9.869508,10.489655
86,7766_109658_000060_000002,11.273057,11.8298025
87,175_123036_000033_000000,10.717323,10.923349
88,115_122944_000007_000002,11.181496,10.883844
89,7140_72212_000028_000000,12.880308,13.78663
90,5126_27504_000010_000001,10.152417,12.157608
91,7754_105383_000065_000002,11.842023,13.106288
92,492_131887_000012_000001,15.705019,16.262873
93,6637_69607_000032_000003,10.977725,11.512215
94,1066_5330_000033_000000,12.095543,13.088223
95,2137_131751_000003_000002,8.980727,10.875671
96,2061_147110_000005_000000,8.073456,8.940287
97,5724_13364_000138_000003,13.797916,13.753861
98,8791_291101_000069_000002,10.594316,12.29475
99,5968_71320_000027_000001,11.287771,11.407936
100,4957_30119_000023_000000,12.874713,14.49441
101,4054_11077_000004_000004,9.90385,11.213326
102,1446_122614_000014_000000,11.871892,12.8059635
103,850_131003_000012_000005,9.253937,10.928876
104,6895_96175_000009_000000,9.093776,9.614737
105,3927_6557_000008_000000,11.4156065,12.584158
106,176_122025_000050_000002,11.073459,10.11759
107,3923_174992_000003_000007,11.526928,12.226965
108,835_130876_000089_000000,10.391512,10.541811
109,2204_131732_000030_000011,11.233636,11.828089
110,8396_120282_000028_000000,13.92134,16.093819
111,5712_48848_000034_000002,10.487649,11.275043
112,925_8141_000003_000007,8.996572,11.28557
113,7240_92200_000004_000002,10.5898,11.718074
114,8118_114476_000009_000001,11.102639,10.772209
115,93_124558_000067_000000,12.582592,12.41662
116,7285_72200_000053_000000,10.880202,10.486573
117,5724_13364_000040_000000,17.85893,16.586283
118,4108_2772_000018_000000,13.007011,14.2168665
119,8080_3961_000026_000003,15.103601,17.467205
120,3370_756_000014_000005,10.152927,11.099944
121,5570_73846_000013_000003,14.899571,15.929991
122,4278_187018_000020_000001,12.952206,15.046958
123,1535_141642_000013_000002,10.7246895,12.07656
124,5984_56840_000018_000000,9.374928,9.825854
125,369_125883_000053_000000,10.400681,10.895145
126,1052_139308_000067_000005,10.377513,11.353728
127,1638_84448_000007_000000,10.326567,11.816711
128,14_212_000052_000005,10.06549,9.536665
129,6160_44912_000040_000000,27.923666,30.258009
130,3733_140718_000024_000001,12.247022,13.544162
131,7833_102239_000017_000001,11.388147,12.851751
132,7538_100043_000047_000001,11.0799675,12.199667
133,4800_38660_000008_000001,14.433994,15.878351
134,8113_301694_000008_000001,13.027956,12.917891
135,4356_6506_000063_000004,12.225241,12.466284
136,4145_34497_000039_000003,14.813,15.70702
137,7910_105673_000004_000002,11.765991,12.747767
138,1271_133279_000011_000008,10.527473,11.796866
139,8329_279775_000011_000000,11.528712,12.464986
140,1392_140654_000003_000002,9.338238,10.164559
141,2785_163322_000055_000000,9.439274,10.095336
142,2512_157242_000135_000000,10.780776,10.311159
143,7481_101276_000055_000000,9.954044,10.256389
144,1079_128632_000059_000000,9.960808,13.714509
145,7705_101579_000038_000003,14.815508,15.195511
146,1289_288044_000031_000001,11.187797,13.071816
147,7245_104890_000096_000000,8.935212,9.3270235
148,6788_111574_000019_000003,12.333932,14.263447
149,7705_101580_000007_000000,13.714719,15.052017
150,7134_67233_000008_000002,10.859894,12.820734
151,5622_44586_000040_000001,10.712639,10.538902
152,5717_94876_000060_000000,10.977646,11.234024
