,uid,MCD_recon,MCD_gt
0,LJ047-0179,5.2226214,6.898053
1,LJ028-0176,5.621745,7.6563044
2,LJ032-0230,5.4691787,6.942728
3,LJ016-0174,4.999591,7.5815167
4,LJ016-0410,5.733335,7.0950365
5,LJ033-0003,4.845087,7.432293
6,LJ009-0293,5.094131,6.4606886
7,LJ032-0087,4.7481337,7.9175363
8,LJ033-0012,5.170488,7.674922
9,LJ018-0074,5.261546,6.4455743
10,LJ017-0022,5.3986864,6.905766
11,LJ009-0278,5.5373006,6.5794654
12,LJ031-0140,5.0755553,6.256697
13,LJ014-0028,4.639329,6.602108
14,LJ015-0079,5.129325,6.83148
15,LJ006-0209,5.4272847,6.9692364
16,LJ038-0130,4.968183,7.7768226
17,LJ030-0134,5.1994057,6.7820287
18,LJ038-0186,5.3806553,7.1256256
19,LJ010-0047,5.1845255,6.921178
20,LJ037-0151,5.161786,6.75015
21,LJ017-0143,5.3684993,6.7213163
22,LJ048-0118,5.7406263,6.966778
23,LJ001-0098,5.3974657,6.455324
24,LJ016-0029,5.8455715,7.067738
25,LJ044-0019,5.3897057,7.8417873
26,LJ041-0031,5.4884753,6.599447
27,LJ012-0228,4.557382,6.785236
28,LJ033-0214,4.883529,10.567853
29,LJ019-0112,5.804093,6.5211964
30,LJ025-0095,5.479929,7.094502
31,LJ019-0238,5.635576,6.769619
32,LJ048-0165,5.5150948,7.004484
33,LJ016-0101,5.296922,6.969849
34,LJ026-0136,5.6841173,7.1994553
35,LJ021-0202,5.8024964,7.213665
36,LJ018-0298,8.780943,9.790545
37,LJ044-0026,5.420643,6.8465466
38,LJ002-0294,9.737784,10.562861
39,LJ029-0018,5.339551,7.18656
40,LJ017-0084,5.655938,6.874794
41,LJ015-0103,5.1876245,6.7959523
42,LJ003-0302,5.1663904,6.4626975
43,LJ026-0013,4.556157,6.399278
44,LJ037-0137,5.433871,6.6890063
45,LJ045-0166,5.54959,6.651828
46,LJ005-0166,7.9991956,9.1640415
47,LJ017-0163,4.961114,6.3143387
48,LJ019-0295,5.120323,6.5671206
49,LJ038-0239,5.4448185,6.9832726
50,LJ027-0080,4.8365664,9.858768
51,LJ014-0265,4.9032607,7.2262354
52,LJ003-0247,5.38969,7.2665854
53,LJ047-0013,5.2252536,6.474106
54,LJ002-0168,5.5084515,7.0077257
