,uid,MCD_recon,MCD_gt
0,LJ047-0179,4.664734016362643,5.456895203973282
1,LJ028-0176,5.8126799902345105,6.631776273116988
2,LJ032-0230,4.95277604665556,5.8669919506188
3,LJ016-0174,6.03178988792583,6.557959824800489
4,LJ016-0410,4.514004196026233,5.646904060257929
5,LJ033-0003,5.920799362411791,6.299256745586114
6,LJ009-0293,4.483753029810312,5.458659874393103
7,LJ032-0087,5.140285053414896,5.918610308885359
8,LJ033-0012,5.314972811277471,6.0322589334539884
9,LJ018-0074,4.592520563602464,5.522705098071618
10,LJ017-0022,5.3594672314231975,6.009345826994027
11,LJ009-0278,4.247286397550653,5.346174752415033
12,LJ031-0140,4.399191293733994,5.276757473810485
13,LJ014-0028,5.9556981542347565,6.618258106010786
14,LJ015-0079,5.631006687034176,6.4319977585568555
15,LJ006-0209,5.247879525493197,5.983175295964458
16,LJ038-0130,5.384708546904977,5.883882531179859
17,LJ030-0134,4.924651955400332,5.637082607632958
18,LJ038-0186,4.5364506055554,5.469645340643273
19,LJ010-0047,5.5477765167070965,6.279884615804523
20,LJ037-0151,5.148791986803668,5.813095618848166
21,LJ017-0143,5.003624109278467,5.854522432773735
22,LJ048-0118,4.414396366020621,5.440219767462894
23,LJ001-0098,4.270086994792491,5.221758416966636
24,LJ016-0029,4.671065163220771,5.583029912468987
25,LJ044-0019,5.388245354174601,6.0564471282597
26,LJ041-0031,4.558230164873471,5.574979401979957
27,LJ012-0228,4.792049266264642,5.4119011993649515
28,LJ033-0214,6.339581575694613,7.138766169584942
29,LJ019-0112,3.7318713605497464,5.338742727531729
30,LJ025-0095,5.786820853294765,6.444687448486897
31,LJ019-0238,4.752407903828136,5.800663041233256
32,LJ048-0165,4.658420454038469,5.581030031650323
33,LJ016-0101,5.764827538967741,6.367661416909454
34,LJ026-0136,5.603714242716024,6.407408539499206
35,LJ021-0202,4.867654337719457,5.837576441886575
36,LJ018-0298,5.280083880992987,7.290740953605545
37,LJ044-0026,4.352084943818757,5.267571671824036
38,LJ002-0294,4.261923183764642,7.034506784327407
39,LJ029-0018,5.532862141288758,6.538706389881009
40,LJ017-0084,4.833393751163992,5.746124634636146
41,LJ015-0103,5.195722775362244,6.065144705975756
42,LJ003-0302,4.999793324366761,5.739409802382052
43,LJ026-0013,4.332977201214403,5.201980243624177
44,LJ037-0137,4.936247351399531,5.799738203257563
45,LJ045-0166,4.413142680831651,5.618489717042899
46,LJ005-0166,6.1258459379746055,7.341960154563507
47,LJ017-0163,4.44853143178395,5.295806510305585
48,LJ019-0295,5.3091814168660845,6.073887903024854
49,LJ038-0239,4.783516614459519,5.67183013368808
50,LJ027-0080,6.559852420597373,7.216532024690329
51,LJ014-0265,6.207035330837418,6.857840617671353
52,LJ003-0247,5.414399301130055,6.257403842998675
53,LJ047-0013,4.257591515439171,5.292763896283842
54,LJ002-0168,5.6229633314246295,6.355923006847286
55,LJ042-0216,4.470728310302729,5.567131451004861
56,LJ004-0156,7.632576545739378,7.743861343985864
57,LJ041-0084,5.461212340896063,6.272308692353685
58,LJ022-0151,5.97157374129984,6.597437586794408
59,LJ006-0076,4.664417692901581,5.800932184053427
60,LJ015-0171,4.479329574819182,6.180292477132476
61,LJ037-0080,4.868041430563835,5.775401356842135
62,LJ002-0260,4.575474471601911,5.489743413674158
63,LJ048-0080,5.298266596526755,6.082795014253524
64,LJ006-0149,4.497027617709779,5.512720995525918
65,LJ025-0109,6.536842932148889,7.113956455783202
66,LJ010-0279,6.508956896646896,7.013622828380005
67,LJ018-0158,4.007429969421949,4.881543666078306
68,LJ037-0096,4.560990257969014,5.2929603548077075
69,LJ042-0251,4.7473737718329,5.540835140059682
70,LJ043-0115,5.868303250051467,6.300284416241189
71,LJ043-0181,5.873331865074975,6.554620222527274
72,LJ013-0064,4.833926464252895,5.611991676558274
73,LJ029-0164,4.40462821386214,5.29885537813299
74,LJ005-0148,4.337693689938249,5.277884460048712
75,LJ047-0107,5.47374401490777,6.1615105107530495
76,LJ002-0304,4.894975096083203,5.812423439451794
77,LJ018-0253,5.81683486565435,6.377333091271708
78,LJ006-0120,4.796618151508764,5.784091791265263
79,LJ015-0200,4.770142164321927,5.55744872371593
80,LJ039-0141,5.6034845819195365,6.3663279831319395
81,LJ026-0050,4.809838645969164,5.7439866688587
82,LJ023-0116,4.1647501152629465,4.944798479936276
83,LJ030-0145,6.1543672708134265,6.775797342876248
84,LJ031-0065,4.7337952676068475,5.82330157086181
85,LJ011-0090,4.985647358338026,5.6566189967562455
86,LJ006-0051,6.061744755827537,6.840725586730506
87,LJ006-0049,5.269058457306723,6.216873439763071
88,LJ032-0186,6.643326396142835,6.994633850491325
89,LJ010-0217,4.382069890126965,5.2250916567371215
90,LJ049-0177,5.605909823462362,6.366905465475944
91,LJ040-0221,5.111378027119444,7.357553600598798
92,LJ040-0022,6.250620813398304,6.433249825554465
93,LJ047-0122,6.284959273795648,6.946633748006738
94,LJ015-0074,5.369379383929848,6.1048334339524155
95,LJ019-0216,4.553855870461506,5.439431439363291
96,LJ029-0041,6.489165311367281,7.0296351873868534
97,LJ038-0213,5.039220020214998,5.604079950301394
98,LJ011-0005,4.711282246003559,5.79222626901278
99,LJ035-0095,6.1495368787629126,6.541520462993693
100,LJ041-0106,5.5516501678828964,6.335345736379328
101,LJ009-0166,4.670608991977267,5.698848869249727
102,LJ009-0283,4.4471949651885465,5.605330088225994
103,LJ019-0089,6.311184903677202,6.832246885479581
104,LJ004-0109,6.407369434367239,6.784055569004229
105,LJ018-0143,5.281180141979183,5.831748742286913
106,LJ018-0366,4.339402943087214,5.128551221581065
107,LJ011-0156,5.2172928505115985,6.051831280821089
108,LJ011-0033,5.892760849124153,6.479326215066336
109,LJ022-0011,5.878904412281719,6.43980101594201
110,LJ048-0021,4.521786837057454,5.382862954057289
111,LJ007-0016,5.7185171482017525,6.45840547136957
112,LJ036-0118,6.529682303032214,6.914735942091703
113,LJ039-0044,5.324783109164149,6.093196184865816
114,LJ019-0033,4.796331691493574,5.722565599876812
115,LJ011-0165,5.466717530230159,6.422494554126883
116,LJ003-0297,6.1045834595986515,7.269384594289889
117,LJ011-0132,4.648189509125751,5.618948815547352
118,LJ004-0041,4.779092302632622,5.875611767919608
119,LJ014-0140,4.870633567752299,6.846555717337846
120,LJ013-0047,5.596694091534076,6.4837369834543095
121,LJ009-0296,8.046006951490863,8.179685384749563
122,LJ013-0233,4.979797723167031,5.761618226985735
123,LJ002-0163,4.9879338436398974,5.696414102105037
124,LJ016-0357,4.939903190918131,5.805822680867381
125,LJ004-0153,5.965859726158077,6.762692119372591
126,LJ050-0097,6.134942472353277,6.60443649488832
127,LJ042-0161,6.161518422942042,6.9305490068237345
128,LJ039-0040,4.326632288390402,5.283675774345397
129,LJ050-0149,5.884739344684042,6.731091637708106
130,LJ050-0056,5.205485591769745,5.7967074572036195
131,LJ015-0141,4.713585694360855,5.620210269171855
132,LJ025-0169,6.56320422895683,7.097981557555846
133,LJ022-0129,4.588992233666272,5.563342703763903
134,LJ023-0141,4.969182878299392,5.75024300944502
135,LJ017-0234,5.065399987942269,5.615874133633295
136,LJ026-0121,4.20855391067473,5.472641645406918
137,LJ032-0234,4.593775728734654,5.426372517051759
138,LJ045-0250,4.588382383481026,5.290432183437992
139,LJ026-0166,4.420227122093123,5.602671047918863
140,LJ031-0218,5.77524909291118,6.285633990304682
141,LJ005-0144,4.331104523303633,5.514625526408249
142,LJ014-0196,5.5678183980737135,6.270101907427543
143,LJ017-0086,5.554542434233621,6.297768752509873
144,LJ013-0145,5.0303564006037575,6.045279189722595
145,LJ014-0227,4.141961852559857,4.964454688417665
146,LJ021-0020,5.759703591427501,6.310006316367177
147,LJ013-0158,6.11365176196678,6.575560789005269
148,LJ014-0225,4.305804074288754,6.223999646775141
149,LJ032-0047,5.1986545842400576,5.9466530176554455
150,LJ032-0051,5.404234871467548,6.0763513837122805
151,LJ019-0155,6.554503595045107,7.039833806339952
152,LJ020-0105,4.870942529871167,5.709676212592467
153,LJ009-0104,5.066820830250351,6.026939583677157
154,LJ004-0149,4.883669917239161,5.789182544201089
155,LJ018-0103,6.213074814870119,6.839794592371625
156,LJ001-0017,4.377215995436727,5.490924691036719
157,LJ042-0143,6.991737503802082,7.209892926226979
158,LJ031-0204,5.026767637349178,5.865418404460198
159,LJ028-0017,5.634943742102581,6.23390027480035
160,LJ017-0242,4.388706592833009,6.519342643756
161,LJ033-0099,5.589965631632016,6.139456329050644
162,LJ005-0133,4.88061134599964,5.836442817178017
163,LJ005-0160,5.746040578254533,6.595223423639628
164,LJ004-0032,5.6506603002862965,6.445480204376257
165,LJ047-0210,5.257272087006143,5.901943237210364
166,LJ027-0162,4.37939758354844,5.077338179660835
167,LJ023-0112,4.133929685052872,4.774342331568256
168,LJ037-0218,6.236269847093411,6.787956494062979
169,LJ046-0002,4.68506688496145,5.509192253139062
170,LJ017-0175,5.476629752685057,6.168758252318142
171,LJ019-0183,4.348847199326593,5.288975217543332
172,LJ035-0160,5.268381449485606,6.1383788891402125
173,LJ047-0089,5.25621688505508,6.104161383880214
174,LJ005-0250,5.186755224765496,5.997985187218794
175,LJ030-0175,4.754561552834019,5.557798477328596
176,LJ046-0228,5.414025232687323,6.130542753006648
177,LJ039-0146,4.687290740226568,5.627807569479949
178,LJ016-0398,6.287068727389741,6.7342950607226495
179,LJ009-0141,5.281194115762253,6.2083365723497
180,LJ022-0165,5.97459758928217,6.46995244664823
181,LJ033-0144,4.857260394233554,6.00404740547261
182,LJ031-0094,4.708357309327037,5.632840905311266
183,LJ019-0395,4.247609558168636,5.2527796798264985
184,LJ025-0151,5.675332443895681,6.337334606544361
185,LJ004-0164,5.1891861278539775,5.827030230762862
186,LJ028-0293,5.403515455070566,6.090758088539666
187,LJ016-0266,5.053668396292627,5.871513075317325
188,LJ044-0148,4.669085043492402,5.499709462478378
189,LJ004-0171,5.934449672891207,6.565926693446628
190,LJ029-0097,5.558308646609555,6.290403025996949
191,LJ010-0211,4.90997610507458,5.756420574154461
192,LJ033-0129,7.641137421396063,9.81305639158433
193,LJ035-0146,5.81227518569447,6.575240407763375
