wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0.15789473684210525,3,19,0,1,0,[],['hosty'],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,28,0,0,0,[],[],[]
0.0,0,4,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.0,0,5,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
1.0769230769230769,14,13,0,2,2,[],"['doctor', 'a']","[('j', 'dr'), ('hideel', 'aj')]"
0.0,0,4,0,0,0,[],[],[]
0.631578947368421,12,19,0,0,3,[],[],"[('sattler', 'sathler'), ('moreover', 'more'), ('stated', 'overstated')]"
0.875,14,16,2,0,2,"['a', 'lies']",[],"[('eliza', 'of'), ('fenning', 'thing')]"
0.23529411764705882,4,17,0,0,1,[],[],"[('bousfield', 'bowsfield')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.0,0,16,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.35,7,20,1,0,1,['drug'],[],"[('drugstore', 'store')]"
0.0,0,18,0,0,0,[],[],[]
0.0,0,16,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.15384615384615385,4,26,0,0,1,[],[],"[('the', 'a')]"
0.0,0,16,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.2,4,20,0,0,1,[],[],"[('fbi', 'act')]"
0.5652173913043478,13,23,1,2,1,['nick'],"['end', 'quote']","[('mcbride', 'breiv')]"
0.0,0,8,0,0,0,[],[],[]
0.25,3,12,0,1,0,[],['four'],[]
0.16666666666666666,4,24,0,0,1,[],[],"[('defrayed', 'defrared')]"
0.0,0,19,0,0,0,[],[],[]
0.13793103448275862,4,29,0,0,1,[],[],"[('warder', 'water')]"
0.0,0,23,0,0,0,[],[],[]
0.5,11,22,1,0,2,['sleeping'],[],"[('ill', 'il'), ('sleepingmats', 'mats')]"
0.0,0,13,0,0,0,[],[],[]
0.13043478260869565,3,23,0,1,0,[],['it'],[]
0.0,0,18,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.45454545454545453,10,22,2,0,1,"['new', 'so']",[],"[('newcomer', 'that')]"
0.5789473684210527,11,19,1,0,2,['sixty'],[],"[('connally', 'connolly'), ('sixtythree', 'three')]"
0.3076923076923077,8,26,0,0,2,[],[],"[('retchings', 'wretchings'), ('vomitings', 'vomiting')]"
0.42105263157894735,8,19,0,0,2,[],[],"[('mister', 'mr'), ('fasson', 'fassin')]"
0.0,0,16,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.0,0,30,0,0,0,[],[],[]
0.36363636363636365,4,11,0,0,1,[],[],"[('mister', 'mr')]"
0.0,0,9,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
0.0,0,19,0,0,0,[],[],[]
0.7,7,10,0,1,1,[],['dog'],"[('hog', 'hauled')]"
0.3076923076923077,4,13,0,0,1,[],[],"[('wych', 'witch')]"
1.125,18,16,1,1,3,['gates'],['a'],"[('gatesman', 'the'), ('or', 'orc'), ('ward', 'award')]"
0.0,0,24,0,0,0,[],[],[]
0.39285714285714285,11,28,1,0,2,['cold'],[],"[('lad', 'land'), ('coldbath', 'bath')]"
0.0,0,21,0,0,0,[],[],[]
0.0,0,10,0,0,0,[],[],[]
0.25,6,24,0,2,0,[],"['end', 'quote']",[]
0.0,0,13,0,0,0,[],[],[]
0.0,0,28,0,0,0,[],[],[]
