uid,whisper_transcripts,gt_transcripts
LJ047-0179," did nothing further in connection with the Oswald case until after the assassination. On November one, nineteen sixty-three,","hosty did nothing further in connection with the oswald case until after the assassination. on november one, nineteen sixty-three,
"
LJ028-0176," Should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.","should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.
"
LJ032-0230," that the published pictures were the same as the original, except for retouching done by these publications, apparently for the purpose of clarifying the lines of the rifle","that the published pictures were the same as the original except for retouching done by these publications, apparently for the purpose of clarifying the lines of the rifle
"
LJ016-0174, Having mentioned CalCraft's name.,"having mentioned calcraft's name,
"
LJ016-0410," nodded pleasantly to the governor, who stood just opposite, and then walked briskly towards the execution shed, smiling as he went along.","nodded pleasantly to the governor, who stood just opposite, and then walked briskly towards the execution shed, smiling as he went along.
"
LJ033-0003, the rifle in the building.,"the rifle in the building.
"
LJ009-0293, while Calcraft was in office. Other aspirants to fame appeared in the field.,"while calcraft was in office other aspirants to fame appeared in the field.
"
LJ032-0087, was a purported international certificate of vaccination signed by Dr. A.J.,"was a purported international certificate of vaccination signed by ""doctor a. j. hideel,
"
LJ033-0012, The Curtain Rod Story.,"the curtain rod story
"
LJ018-0074," Sathler probably misunderstood and he declared that the police officer had broken faith with him, having more overstated that","sattler probably misunderstood, and he declared that the police officer had broken faith with him, having, moreover, stated that
"
LJ017-0022, was that of a lies of thing who was convicted of an attempt to poison a whole family.,"was that of eliza fenning, who was convicted of an attempt to poison a whole family
"
LJ009-0278, Bowsfield slowly drew himself up and rested with his feet on the right side of the drop.,"bousfield slowly drew himself up, and rested with his feet on the right side of the drop.
"
LJ031-0140," When consulted by the Vice President, O'Donnell advised him to go to the airfield immediately and return to Washington.","when consulted by the vice president, o'donnell advised him to go to the airfield immediately and return to washington.
"
LJ014-0028, and he was in possession the first time to her knowledge of a watch.,"and he was in possession, the first time to her knowledge, of a watch.
"
LJ015-0079," The temptation was all the greater, because the chances of successful fraud lay ready to hand.","the temptation was all the greater because the chances of successful fraud lay ready to hand.
"
LJ006-0209," The donation of a philanthropic gentleman, Captain Brown, but these, particularly the Bibles, bore little appearance of having been used.","the donation of a philanthropic gentleman, captain brown, but these, particularly the bibles, bore little appearance of having been used.
"
LJ038-0130, as one entitled to receive mail.,"as one entitled to receive mail.
"
LJ030-0134, because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the president.,"because it convinced him that the average dallas resident was like other american citizens in respecting and admiring the president.
"
LJ038-0186," You will find the mailbox in the post office, which is located four blocks from the drug store on that street.","you will find the mailbox in the post office which is located four blocks from the drugstore on that street.
"
LJ010-0047," While in eighteen fifty, her majesty was the victim of another outrage at the hands of one pate.","while in eighteen fifty her majesty was the victim of another outrage at the hands of one pate.
"
LJ037-0151, Cunningham declared that this weapon fired the four cartridges to the exclusion of all other weapons.,"cunningham declared that this weapon fired the four cartridges to the exclusion of all other weapons.
"
LJ017-0143," which followed close on its heels, although in that the verdict of not guilty was excusable as the evidence was entirely circumstantial.","which followed close on its heels, although in that the verdict of ""not guilty"" was excusable, as the evidence was entirely circumstantial.
"
LJ048-0118," He did not have a checklist of the tasks he was expected to accomplish, either by his own efforts or with a cooperation of local authorities.","he did not have a checklist of the tasks he was expected to accomplish, either by his own efforts or with the cooperation of local authorities.
"
LJ001-0098," and the whole effect is a little too gray, owing to the thinness of the letters.","and the whole effect is a little too gray, owing to the thinness of the letters.
"
LJ016-0029, even after Williams had got out. Persons were disposed to disbelieve that the escape had been accomplished in the manner indicated.,"even after williams had got out, persons were disposed to disbelieve that the escape had been accomplished in the manner indicated;
"
LJ044-0019," Following his arrest, he was interviewed by the police and at his own request by an agent of the act.","following his arrest, he was interviewed by the police, and at his own request, by an agent of the fbi.
"
LJ041-0031, Oswald praised Khrushchev and suggested that he and Nick Breiv join the Communist Party quote to take advantage of their social functions.,"oswald praised khrushchev and suggested that he and mcbride join the communist party, quote, to take advantage of their social functions, end quote.
"
LJ012-0228, the evidence from first to last was circumstantial.,"the evidence from first to last was circumstantial,
"
LJ033-0214, carried the rifle into the depository building concealed in the bag.,"(four) carried the rifle into the depository building, concealed in the bag;
"
LJ019-0112," Such excellent returns might be counted upon, that a margin of profit would be left after the cost of the prisons had been defrared.","such excellent returns might be counted upon, that a margin of profit would be left after the cost of the prisons had been defrayed.
"
LJ025-0095," Once supposed to be exclusively confined to plants, are now known to be regular and normal products of animals.","once supposed to be exclusively confined to plants, are now known to be regular and normal products of animals.
"
LJ019-0238," The first glass house, or room in which prisoners could talk in private with their attorneys, but yet be seen by the water on the watch, had been constructed.","the first ""glass house,"" or room in which prisoners could talk in private with their attorneys, but yet be seen by the warder on the watch, had been constructed
"
LJ048-0165, Buildings along the route can be checked by teams of law enforcement officers and armed guards are posted along the route as appropriate.,"buildings along the route can be checked by teams of law enforcement officers, and armed guards are posted along the route as appropriate.
"
LJ016-0101," One of the three, Shamming Il, remained all day in his ward, where he employed himself unraveling the rope from the sleeping mats.","one of the three, shamming ill, remained all day in his ward, where he employed himself unraveling the rope from the sleeping-mats.
"
LJ026-0136, It may be reconverted into starch after journeying as glucose through the plant.,"it may be reconverted into starch after journeying as glucose through the plant
"
LJ021-0202, the equally untenable theory that is an interference with liberty to offer reasonable help when private enterprise is in need of help.,"the equally untenable theory that it is an interference with liberty to offer reasonable help when private enterprise is in need of help.
"
