uid,whisper_transcripts,gt_transcripts
5400_3587_000037_000001," Even the cunning blandishments of a very attractive monkey that always had entertained the children on their numerous visits, failed to interest her now. Mamsey would be worrying, she knew, and besides, the sight of so many birds eating their suppers out of generously full seat-caps, only filled her heart with the remorse as she thought it poor Cherry and his empty one.","even the cunning blandishments of a very attractive monkey that always had entertained the children on their numerous visits, failed to interest her now. mamsie would be worrying, she knew; and besides, the sight of so many birds eating their suppers out of generously full seed cups, only filled her heart with remorse as she thought of poor cherry and his empty one.
"
8772_270777_000011_000003," The child had tried again and again to see it through the telescope. With what result, no one knew.","the child had tried again and again to see it through the telescope, with what result no one knew.
"
596_139612_000023_000003," Now, please, give me the ashes of the mortar as I wish to keep them in remembrance of my dog.","now please give me the ashes of the mortar, as i wish to keep them in remembrance of my dog.""
"
4899_32639_000029_000000," Oh, your seat has changed, said she.","oh, your seat is changed,"" said she.
"
5304_109507_000023_000000," It's three minutes of twelve, he said.","""it's three minutes of twelve,"" he said.
"
8887_281471_000024_000001, I thought perhaps it was Ratcliffe.,"""i thought perhaps it was rackliff.
"
2562_157263_000014_000000, The other turned about quickly to gay as Heavenward.,"the other turned about quickly to gaze heavenward.
"
954_130627_000038_000001, Bye.,"why-""
"
7825_258970_000028_000000, Five.,"five.
"
8684_293663_000006_000002," He might need them, but his one thought was to get to Lucille if she were still alive.","he might need them, but his one thought was to get to lucille, if she were still alive.
"
1806_2536_000010_000000," Atsego, in common with most of the interior of the province of New York, was included in the county of Albany previously to the War of the Separation.","otsego, in common with most of the interior of the province of new york, was included in the county of albany previously to the war of the separation.
"
1025_92814_000044_000001," I sat down at the supper table last night at Riddles, and I looked at Rosie, and I says to myself, Chunk, if you get the girl gitter on the square, don't don't eat try end-coaspicus with a thoroughbred, like, or I keeps the paper you give me in my poppet.","i sat down at the supper table last night at riddle's, and i looked at rosy, and i says to myself, 'chunk, if you get the girl get her on the square-don't try any hocus pocus with a thoroughbred like her.' and i keeps the paper you give me in my pocket.
"
708_129393_000084_000001, in Christian countries the day after the baseball game.,"in christian countries, the day after the baseball game.
"
3228_4691_000000_000006, and then they may joy either of other.,"and then they made joy either of other.
"
7495_252341_000037_000003, The Palaz Odellator was for a fortnight the resort of the curious and the idle.,"the palazzo della torre was for a fortnight the resort of the curious and the idle.
"
4854_24731_000028_000002, It follows therefore that extended substance does not appertain to the essence of God.,"it follows, therefore, that extended substance does not appertain to the essence of god.
"
166_122789_000037_000000, Is that what you call Miss Alden?,"""is that what you call miss alden?""
"
1961_149738_000016_000006, fancy England and appendage.,"fancy england an appendage!
"
1027_125147_000030_000001, May I take the liberty to say something?,"'may i take the liberty to say something?'
"
2971_4275_000035_000000," There is no man like me!"" cried Lucifer, with a violence that shook the ship.","""there is no man like me,"" cried lucifer, with a violence that shook the ship.
"
1066_5330_000058_000001, The latter walked on. The former came in.,"the latter walked on; the former came in.
"
3869_700_000019_000002," If I hadn't had something to keep me here, I would have run over myself long ago, for I have some business there in a hurry.","if i hadn't had something to keep me here, i would have run over myself long ago, for i've some business there in a hurry.
"
7981_112057_000023_000003, Gradually they were softened and would listen while he spoke to them of the savor who had died to save their soul.,"gradually they were softened and would listen while he spoke to them of the saviour who had died to save their souls.
"
6544_231862_000065_000001," Denzel did look, and uttered a second cry more startling than the first.","denzil did look, and uttered a second cry more startling than the first.
"
5054_1187_000089_000000," I can't do that, said the Beast.","""i can't do that,"" said the beast.
"
1472_285314_000023_000000," Very good, I'll hunt him up.","""very good; i'll hunt him up.
"
6981_70843_000102_000003," They said moreover, that they had their men with Kerensky, and that they were doing their part.","they said moreover that they had their men with kerensky, and that they were doing their part....
"
8725_294554_000007_000018," Other men's religion again and all their interest in it, is rooted in their shop. You can make them anything or nothing in religion, according as you do or do not do business in their shop.","other men's religion, again, and all their interest in it, is rooted in their shop; you can make them anything or nothing in religion, according as you do or do not do business in their shop.
"
4148_134149_000084_000000," True, dear child, the professor thankfully replied as he replaced the coins in his pocket.","""true, dear child!"" the professor thankfully replied, as he replaced the coins in his pocket.
"
5239_32139_000012_000004," It surprised me to see these enormous gateways made of great masses of stone, some of which were thirty feet long, fifteen high and six thick.","it surprised me to see these enormous gate ways, made of great masses of stone, some of which were thirty feet long, fifteen high, and six thick.""
"
7286_92935_000012_000002," On one occasion we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.","on one occasion, we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.
"
7705_101580_000025_000000, He stood a minute with his arm still around her and coughed his voice clear.,"he stood a minute with his arm still around her, and coughed his voice clear.
"
2517_135229_000021_000006," The darkness, the blood shed, the sacrifices, all these affected me as they had once affected her.","the darkness, the bloodshed, the sacrifices, all these affected me as they had once affected her.
"
666_11243_000082_000003," During this episode, Anna, who had been left alone in the stall, first noticed Willy Price in the room.","during this episode anna, who had been left alone in the stall, first noticed willie price in the room.
"
5656_44577_000068_000004, Can you suggest any improvement?,"can you suggest any improvement?
"
3274_167022_000023_000001," Ritual killing, he asked.","""ritual killing?"" he asked.
"
2573_178449_000056_000000," And yet, when Mary spoke at last, her voice was barely audible.","and yet, when mary spoke at last, her voice was barely audible.
"
7134_67233_000007_000000, An extraordinary instance of a similar kind occurred with a terrier bitch named Keepsy.,"an extraordinary instance of a similar kind occurred with a terrier bitch, named gipsy.
"
6359_64713_000018_000000," On his return, he had recourse to an operation of Geomancy. To find out where the lamp was, whether Aladdin carried it about with him or where he left it.","on his return he had recourse to an operation of geomancy to find out where the lamp was-whether aladdin carried it about with him, or where he left it.
"
6188_73024_000005_000003, but this he abstained from doing.,"but this he abstained from doing.
"
4116_13265_000025_000006," A very hard young lady to please,"" her father said, sometimes playfully, sometimes sternly.","a very hard young lady to please, her father said, sometimes playfully, sometimes sternly.
"
2074_149033_000012_000002," I adore writing, and used to pray for bad weather, so that I need not go out but could stay in and write. Her mother used to have early tea in bed, sometimes visitors came to the house, when there was talk of events in high society. There was mention of places called Hampton Court, the Guillotine Theatre, and the Mrs. Palace.","""i adored writing and used to pray for bad weather, so that i need not go out but could stay in and write."" her mother used to have early tea in bed; sometimes visitors came to the house, when there was talk of events in high society: there was mention of places called hampton court, the gaiety theatre and the ""crystale"" palace.
"
6160_44912_000004_000001, It arose from her being so desolate.,"it arose from her being so desolate.
"
6189_21305_000014_000000," Craven looked up, absolutely.","craven looked up absently.
"
2004_147173_000019_000002, It's just like him to be so tender and thoughtful.,"it's just like him to be so tender and thoughtful!""
"
3989_182402_000019_000000, Never mind how I knew.,"""never mind how i knew.
"
4744_31668_000003_000001," Far from morbid naturally, she did her best to deny the thought. And so simple and unartificial was her type of mind, that for weeks together she would wholly lose it.","far from morbid naturally, she did her best to deny the thought, and so simple and unartificial was her type of mind that for weeks together she would wholly lose it.
"
2592_5341_000022_000004," I do not intend to take her honors from her, but I will save her a world of trouble in management, be as useful to her as a housekeeper.","i do not intend to take her honors from her; but i will save her a world of trouble in management-be as useful to her as a housekeeper.
"
480_127525_000006_000000," I tried and found by experiment that the tide kept sweeping us westward, until I had later head, due east, or just about right angles, to the way we ought to go.","i tried and found by experiment that the tide kept sweeping us westward until i had laid her head due east, or just about right angles to the way we ought to go.
"
1265_135635_000022_000000," Oh, Mrs. Rogers is a goin', replied, Master Bardell, opening his eyes very wide as he delivered the intelligence.","'oh! mrs rogers is a goin',' replied master bardell, opening his eyes very wide as he delivered the intelligence.
"
957_132568_000025_000001," The peeling thunder rolled onward and then, by the mountains, other thunder seemed to answer from the opposite horizon, while the accumulating clouds, entirely concealing the moon, assumed a red sulphur astinge that foretold the violet storm.","the pealing thunder rolled onward, and then, reverbed by the mountains, other thunder seemed to answer from the opposite horizon; while the accumulating clouds, entirely concealing the moon, assumed a red sulphureous tinge, that foretold a violent storm.
"
166_352_000003_000010," He might have spoken but I did not hear. One hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs.","he might have spoken, but i did not hear; one hand was stretched out, seemingly to detain me, but i escaped and rushed downstairs.
"
576_129623_000107_000004," The quadrune set for hours before Edna's palate. Patient as a savage, while the house made took charge of the children and the drawing room went and usasted.","the quadroon sat for hours before edna's palette, patient as a savage, while the house maid took charge of the children, and the drawing room went undusted.
"
3361_1150_000028_000002, I told my sister Philip so the other day.,"i told my sister phillips so the other day.
"
1731_142320_000059_000000, BANG,"'ah!
"
2229_152864_000008_000000, By and by the moon appeared. Slow crossing the far horizon.,"by and by the moon appeared, slow crossing the far horizon.
"
6492_68353_000006_000000, American genius was just coming into play.,"american genius was just coming into play.
"
7145_87280_000025_000000," Of course, Mary's womanly self-esteem, to say nothing of her royal pride was wounded to the quick, and no wonder.","of course, mary's womanly self esteem, to say nothing of her royal pride, was wounded to the quick, and no wonder.
"
3825_134160_000001_000000, Chapter Twenty-Three,"chapter twenty three.
"
3728_105398_000070_000001, What's to be done.,"what's to be done?
"
1903_132499_000027_000011," I shall read what you write. I shall hear about you from everyone, and sometimes you will come yourself to see me.""","i shall read what you write, i shall hear about you from everyone, and sometimes you'll come yourself to see me.
"
5448_19208_000052_000001," Marius was laid upon the back seat, and Jevir seated himself on the front seat, beside John Volgene.","marius was laid upon the back seat, and javert seated himself on the front seat beside jean valjean.
"
1121_176698_000024_000000," Well, if she drove straight back from Cranbrook, she would be here now, but I fancy she won't be so very anxious to get home today, and may come the longest way round. Yes, it's in my mind she will keep away from Dapplemair as long as ever she can.","""well, if she drove straight back from cranbrook she would be here now,--but i fancy she won't be so very anxious to get home to day,--and may come the longest way round; yes, it's in my mind she will keep away from dapplemere as long as ever she can.""
"
5622_41172_000004_000000," In solitude afterwards thinking over that glance, which had expressed his right to freedom, she came, as she always did, to the same point. The Sense of Her Own Humiliation","in solitude afterwards, thinking over that glance which had expressed his right to freedom, she came, as she always did, to the same point-the sense of her own humiliation.
"
816_2301_000020_000000," Oh, won't you want? Won't you please?","""oh, won't you-won't you please-""
"
100_122655_000050_000001, What made you think of ambition?,"what made you think of ambition?
"
398_130093_000068_000001, he may find use of the third person.,"he made a fine use of the third person.
"
479_107479_000017_000001, Whorled raffles used to say that she diminished his income a good ten thousand pounds a year by getting in her fine work ahead of his explained Henriette,"poor old raffles used to say that she diminished his income a good ten thousand pounds a year by getting in her fine work ahead of his,"" explained henriette.
"
1777_142750_000003_000000, Our theory of truth must be such as to admit of its opposite falsehood.,"(one) our theory of truth must be such as to admit of its opposite, falsehood.
"
2512_157242_000069_000000," It was clever of it, so adequate and yet so simple,"" said the Phoenix, with calm approval.","'it was clever of it-so adequate and yet so simple,' said the phoenix, with calm approval.
"
5570_73846_000041_000001," Ask me not to come back,"" he said. That's nearer your hope. He turned his face to the fire.","'ask me not to come back,' he said; 'that's nearer your hope.' he turned his face to the fire.
"
8498_287357_000044_000001," I refused to do this until I had seen some of the precious stones, and they agreed that this was fair, but said I would have to wait a few days.","i refused to do this until i had seen some of the precious stones, and they agreed that this was fair, but said i would have to wait a few days.
"
922_132300_000045_000000, I don't hate you.,"""i don't hate you.
"
4064_77779_000007_000004," For three weary months the followers of each attack the character and intelligence of the other until if you really believed what was said of either, neither in your estimation would have a shred of reputation left.","for three weary months the followers of each attack the character and intelligence of the other until, if you really believed what was said of either, neither in your estimation would have a shred of reputation left.
"
209_157830_000013_000003, A larger society would improve them.,"a larger society would improve them.
"
3009_10327_000027_000002, Hence it would follow that one part of matter receives the corporeal form and another receives the spiritual form.,"hence it would follow that one part of matter receives the corporeal form, and another receives the spiritual form.
"
8825_292252_000025_000001, I have walked both roots and consider the latter the shorter.,"i have walked both routes and consider the latter the shorter.
"
2045_158081_000021_000002, You sacrifice nothing by my resignation.,"you sacrifice nothing by my resignation.
"
8329_279775_000014_000000," Yes, my child,"" said he, for I have taken a dove alive.","""yes, my child,"" said he, ""for i have taken a dove alive.""
"
64_76974_000078_000001," Perhaps I should not alarm you young gentleman, but I think you should know.","perhaps i should not alarm you young gentlemen, but i think you should know.""
"
5868_66166_000023_000001, That's what the pilot said.,"that's what the pilot said.
"
242_122627_000035_000000," Ms. Air, are you ill? Said Bessie.","""miss eyre, are you ill?"" said bessie.
"
5975_54006_000065_000000," What you tell me, said the young man, passes wonder.","""what you tell me,"" said the young man, ""passes wonder.
"
303_123500_000016_000001," The crisp, fresh mountain air outside the cave acted as an immediate tonic, and I felt new life and new courage coursing through me.","the crisp, fresh mountain air outside the cave acted as an immediate tonic and i felt new life and new courage coursing through me.
"
28_12332_000089_000009, The only country in the world fit to live in is England.,"the only country in the world fit to live in is england.
"
1417_1532_000028_000000," There's a basket here if you want it, said Billy.","""there's a basket here, if you want it,"" said billy.
"
7766_109658_000060_000002, Cold branch lay on the edge of the grape and corn lands.,"cold branch lay on the edge of the grape and corn lands.
"
175_123036_000033_000000," Look here, mates,"" said Jerry. The gentleman offered me half a crown extra, but I didn't take it. Mr. quite pay enough for me to see how glad he was to catch that train. And if Jack and I choose to have a quick run now and then, to please ourselves, that's our business and not yours.","""look here, mates,"" said jerry; ""the gentleman offered me half a crown extra, but i didn't take it; 'twas quite pay enough for me to see how glad he was to catch that train; and if jack and i choose to have a quick run now and then to please ourselves, that's our business and not yours.""
"
115_122944_000007_000002," I could not have done that, says my pride, and remains inexorable.","""i could not have done that,"" says my pride, and remains inexorable.
"
7140_72212_000028_000000, no matter what ailed you.,"""no matter what ailed you?""
"
5126_27504_000010_000001," Father had got into one of his tantrums and, when he did, he was fit to be tied. Only I'd not have took the contract for something.","father had got into one of his tantrums, and when he did he was fit to be tied; only i'd not have took the contract for something.
"
7754_105383_000065_000002," As for Lord Antony, he looked extremely uncomfortable and glanced once or twice apprehensively towards Jelly Band, who looked just as uncomfortable as himself.","as for lord antony, he looked extremely uncomfortable, and glanced once or twice apprehensively towards jellyband, who looked just as uncomfortable as himself.
"
492_131887_000012_000001," fix,"" said the console. I like your way of talking, and hope you'll succeed. But I fear you will find it far from easy.""","fix,"" said the consul, ""i like your way of talking, and hope you'll succeed; but i fear you will find it far from easy.
"
6637_69607_000032_000003, Who can say what absurdities may happen if it once gets out that she is Lady Rose's child?,"who can say what absurdities may happen if it once gets out that she is lady rose's child?
"
1066_5330_000033_000000," Thorn echoed Barbara, lifting her head.","""thorn!"" echoed barbara, lifting her head.
"
2137_131751_000003_000002," On closing the circuit of a primary battery, an electric current is generated by reason of the chemical action which is set up between the f- and the elements. This involves a gradual consumption of one of the elements and a corresponding exhaustion of the active properties of the","on closing the circuit of a primary battery an electric current is generated by reason of the chemical action which is set up between the electrolyte and the elements. this involves a gradual consumption of one of the elements and a corresponding exhaustion of the active properties of the electrolyte.
"
2061_147110_000005_000000, The burning of Kanso and the attack on Annapolis stirred up the wrath of New England.,"the burning of canso and the attack on annapolis stirred up the wrath of new england.
"
5724_13364_000138_000003, but no one ever was to her like her father.,"but no one ever was to her like her father.
"
8791_291101_000069_000002," He called Kargan and Casey, then waited. Fidgeting.","he called cargan and casey, then waited, fidgeting.
"
5968_71320_000027_000001," Well, we shall see.","well, we shall see.""
"
4957_30119_000023_000000, How impolite?,"""how impolite.""
"
4054_11077_000004_000004," And because it may be, and often is happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure. To be made ours as soon as we have cut the pages and began to read.","and because it may be, and often is, happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure, to be made ours as soon as we have cut the pages and begun to read.
"
1446_122614_000014_000000," He knows no difference in his children, whether the color of the skin be red or black or white. Return Duncan evasively. Though chiefly is he satisfied with the brave Hurons.","""he knows no difference in his children, whether the color of the skin be red, or black, or white,"" returned duncan, evasively; ""though chiefly is he satisfied with the brave hurons.""
"
850_131003_000012_000005," I believe it may be regarded as a position warranted by the history of mankind that, in the usual progress of things, the necessities of a nation in every stage of its existence will be found at least equal to its resources.","i believe it may be regarded as a position warranted by the history of mankind, that, in the usual progress of things, the necessities of a nation, in every stage of its existence, will be found at least equal to its resources.
"
6895_96175_000009_000000," Well said I. You have seen bones all around you, and the bones of your mother, and you can feel the bones in your fingers.","'well,' said i, 'you have seen bones all around you, and the bones of your mother, and you can feel the bones in your fingers.
"
3927_6557_000008_000000," Food is low and weather uncertain, so that many hours of the day were anxious. But this evening, though we are not as far advanced as I expected, the outlook is much more promising.","food is low and weather uncertain, so that many hours of the day were anxious; but this evening, though we are not as far advanced as i expected, the outlook is much more promising.
"
176_122025_000050_000002, So good of you to inquire.,"so good of you to inquire!
"
3923_174992_000003_000007," Why should Foxes be demanded from him then, any more than a bear to be baited, or a badger to be drawn and let us say his London dining-room?","why should foxes be demanded from him then any more than a bear to be baited, or a badger to be drawn, in, let us say, his london dining room?
"
835_130876_000089_000000," There, sir, all under control, he told me after a few moments. The skiff is in place and the hatches are closed.","""there, sir, all under control!"" he told me after a few moments. ""the skiff is in place and the hatches are closed.
"
2204_131732_000030_000011," to which he replied laughingly, I already have a schedule worked out.","to which he replied laughingly: ""i already have a schedule worked out.
"
8396_120282_000028_000000, Really? Ask the tree in great surprise.,"""really?"" asked the tree, in great surprise.
"
5712_48848_000034_000002, But who is there? She repeated.,"""but who is there?"" she repeated.
"
925_8141_000003_000007, Practice.,"practice.
"
7240_92200_000004_000002," I believe I was accustomed to all the precarious Indian conveyances, and as a boy I enjoyed the Dogtravo ride as much as any.","i believe i was accustomed to all the precarious indian conveyances, and, as a boy, i enjoyed the dog travaux ride as much as any.
"
8118_114476_000009_000001, By George we're driving their skirmishers before us.,"by george, we're driving their skirmishers before us!
"
93_124558_000067_000000, Twenty-four.,"twenty four.
"
7285_72200_000053_000000," You had him pursued promptly, of course.","""you had him pursued promptly, of course?""
"
5724_13364_000040_000000, We were very happy at Underly.,"we were very happy at enderley.
"
4108_2772_000018_000000," Certainly, Lord, wispych!","""certainly, lord wisbeach.""
"
8080_3961_000026_000003," Even supposing you quit this present world, there is another where we shall meet, and where I shall see you once more cheerful, and there will be a time when your mother and father will also join you.","even supposing you quit this present world, there is another where we shall meet, and where i shall see you once more cheerful, and there will be a time when your mother and father will also join you.""
"
3370_756_000014_000005, But that man in prison is incapable of suffering. Kaccha concluded irritably.,"but that man in prison is incapable of suffering,"" katya concluded irritably.
"
5570_73846_000013_000003, What would you do?,"what would you do?'
"
